gvkey,company_name,date,year,quarter,cds_spread,cds_spread_lead_4q,future_cds_change_abs,future_cds_change_pct,distress_flag
7257,Merck & Co.,2019-12-31,2019,4,36.66786666666667,35.30613333333333,-1.3617333333333406,-0.03713696642655351,0.0
7257,Merck & Co.,2020-03-31,2020,1,36.5866,34.572833333333335,-2.013766666666662,-0.05504109883582137,0.0
7257,Merck & Co.,2020-06-30,2020,2,42.4335,30.18163333333333,-12.251866666666672,-0.2887309947722123,0.0
7257,Merck & Co.,2020-09-30,2020,3,37.89033333333333,30.161066666666667,-7.729266666666664,-0.20399046370666216,0.0
7257,Merck & Co.,2020-12-31,2020,4,35.30613333333333,27.8992,-7.406933333333328,-0.20979168869620374,0.0
7257,Merck & Co.,2021-03-31,2021,1,34.572833333333335,28.4458,-6.127033333333337,-0.17722103578435872,0.0
7257,Merck & Co.,2021-06-30,2021,2,30.18163333333333,28.5927,-1.5889333333333298,-0.05264570395461246,0.0
7257,Merck & Co.,2021-09-30,2021,3,30.161066666666667,28.79523333333333,-1.3658333333333381,-0.04528464952610003,0.0
7257,Merck & Co.,2021-12-31,2021,4,27.8992,28.612233333333336,0.7130333333333354,0.02555748312974334,0.0
7257,Merck & Co.,2022-03-31,2022,1,28.4458,28.56243333333333,0.1166333333333327,0.004100195225071283,0.0
7257,Merck & Co.,2022-06-30,2022,2,28.5927,28.560166666666664,-0.032533333333336856,-0.0011378195600043666,0.0
7257,Merck & Co.,2022-09-30,2022,3,28.79523333333333,27.511433333333333,-1.2837999999999958,-0.0445837679152914,0.0
7257,Merck & Co.,2022-12-31,2022,4,28.612233333333336,28.10033333333333,-0.5119000000000042,-0.017890948743369824,0.0
7257,Merck & Co.,2023-03-31,2023,1,28.56243333333333,27.422,-1.1404333333333305,-0.03992773724927722,0.0
7257,Merck & Co.,2023-06-30,2023,2,28.560166666666664,32.20923333333334,3.6490666666666733,0.12776769509981875,0.0
7257,Merck & Co.,2023-09-30,2023,3,27.511433333333333,29.533266666666663,2.02183333333333,0.07349065782347448,0.0
7257,Merck & Co.,2023-12-31,2023,4,28.10033333333333,29.592625,1.4922916666666701,0.05310583504347529,0.0
7257,Merck & Co.,2024-03-31,2024,1,27.422,,,,
7257,Merck & Co.,2024-06-30,2024,2,32.20923333333334,,,,
7257,Merck & Co.,2024-09-30,2024,3,29.533266666666663,,,,
7257,Merck & Co.,2024-12-31,2024,4,29.592625,,,,
7257,Merck & Co.,2025-03-31,2025,1,,,,,
7257,Merck & Co.,2025-06-30,2025,2,,,,,
7257,Merck & Co.,2025-09-30,2025,3,,,,,
7343,Micron Technology,2010-02-28,2010,1,312.03586666666666,317.4739333333333,5.438066666666657,0.017427697414271578,0.0
7343,Micron Technology,2010-05-31,2010,2,308.3495,319.99396666666667,11.644466666666688,0.03776385778691611,0.0
7343,Micron Technology,2010-08-31,2010,3,312.00666666666666,319.9755666666667,7.968900000000019,0.025540800410247706,0.0
7343,Micron Technology,2010-11-30,2010,4,314.69983333333334,318.5986,3.8987666666666314,0.012388842489589174,0.0
7343,Micron Technology,2011-02-28,2011,1,317.4739333333333,318.76286666666664,1.2889333333333184,0.004059965868063872,0.0
7343,Micron Technology,2011-05-31,2011,2,319.99396666666667,311.01126666666664,-8.982700000000023,-0.02807146676411302,0.0
7343,Micron Technology,2011-08-31,2011,3,319.9755666666667,293.53360000000004,-26.441966666666644,-0.08263745554738704,0.0
7343,Micron Technology,2011-11-30,2011,4,318.5986,322.02669999999995,3.428099999999972,0.010759934287219004,0.0
7343,Micron Technology,2012-02-29,2012,1,318.76286666666664,322.5989666666667,3.8361000000000445,0.012034337751176929,0.0
7343,Micron Technology,2012-05-31,2012,2,311.01126666666664,323.0397666666667,12.028500000000065,0.03867544777048827,0.0
7343,Micron Technology,2012-08-31,2012,3,293.53360000000004,323.424,29.890399999999943,0.10182956908510624,0.0
7343,Micron Technology,2012-11-30,2012,4,322.02669999999995,323.8018,1.7751000000000658,0.0055122758454502875,0.0
7343,Micron Technology,2013-02-28,2013,1,322.5989666666667,317.2914,-5.307566666666673,-0.016452522218246432,0.0
7343,Micron Technology,2013-05-31,2013,2,323.0397666666667,329.2212,6.1814333333333025,0.01913520863736787,0.0
7343,Micron Technology,2013-08-31,2013,3,323.424,329.2169333333334,5.792933333333394,0.01791126611919151,0.0
7343,Micron Technology,2013-11-30,2013,4,323.8018,329.2177,5.415899999999965,0.016725972493049652,0.0
7343,Micron Technology,2014-02-28,2014,1,317.2914,331.05553333333336,13.764133333333348,0.043380102118536296,0.0
7343,Micron Technology,2014-05-31,2014,2,329.2212,334.30826666666667,5.087066666666658,0.01545181983015267,0.0
7343,Micron Technology,2014-08-31,2014,3,329.2169333333334,333.55826666666667,4.341333333333296,0.01318684701110948,0.0
7343,Micron Technology,2014-11-30,2014,4,329.2177,329.6408666666667,0.42316666666670244,0.0012853703390391905,0.0
7343,Micron Technology,2015-02-28,2015,1,331.05553333333336,329.3019,-1.7536333333333687,-0.0052970971838965444,0.0
7343,Micron Technology,2015-05-31,2015,2,334.30826666666667,329.18683333333337,-5.1214333333333,-0.01531949354527867,0.0
7343,Micron Technology,2015-08-31,2015,3,333.55826666666667,324.03683333333333,-9.521433333333334,-0.028545037808486835,0.0
7343,Micron Technology,2015-11-30,2015,4,329.6408666666667,324.1076333333333,-5.533233333333385,-0.016785641262521613,0.0
