iqt,date,cds_spread
IQT128692061,2021-02-20,80.7247
IQT128692061,2021-03-22,95.9449
IQT128692061,2021-04-21,87.9832
IQT128692061,2021-05-21,86.287
IQT128692061,2021-06-20,77.8924
IQT128692061,2021-07-20,84.1752
IQT128692061,2021-08-19,76.2778
IQT128692061,2021-09-18,71.3752
IQT128692061,2021-10-18,86.1095
IQT128692061,2021-11-17,80.0317
IQT128692061,2021-12-17,82.3177
IQT128692061,2022-01-16,82.3651
IQT128692061,2022-02-15,102.0981
IQT128692061,2022-03-17,108.5663
IQT128692061,2022-04-16,104.9044
IQT128692061,2022-05-16,128.5837
IQT128692061,2022-06-15,142.5059
IQT128692061,2022-07-15,194.0275
IQT128692061,2022-08-14,138.7654
IQT128692061,2022-09-13,153.4887
IQT128692061,2022-10-13,190.1583
IQT128692061,2022-11-12,129.1111
IQT128692061,2022-12-12,109.3617
IQT128692061,2023-01-11,93.009
IQT128692061,2023-02-10,91.8133
IQT128692061,2023-03-12,109.8356
IQT128692061,2023-04-11,124.3663
IQT128692061,2023-05-11,132.6824
IQT128692061,2023-06-10,114.7392
IQT128692061,2023-07-10,105.1113
IQT128692061,2023-08-09,99.3556
IQT128692061,2023-09-08,115.5454
IQT128692061,2023-10-08,142.1749
IQT128692061,2023-11-07,132.3206
IQT128692061,2023-12-07,113.944
IQT128692061,2024-01-06,107.816
IQT128692061,2024-02-05,96.9959
IQT128692061,2024-03-06,80.3849
IQT128692061,2024-04-05,80.5269
IQT128692061,2024-05-05,84.324
IQT128692061,2024-06-04,81.1932
IQT128692061,2024-07-04,94.6024
IQT128692061,2024-08-03,109.4145
IQT128692061,2024-09-02,95.6053
IQT128692061,2024-10-02,100.8656
IQT128692061,2024-11-01,99.7448
IQT128692061,2024-12-01,97.9265
IQT128692061,2024-12-31,90.2952
IQT1673283577,2015-03-24,50.9515
IQT1673283577,2015-04-23,46.916
IQT1673283577,2015-05-23,58.4005
IQT1673283577,2015-06-22,63.1425
IQT1673283577,2015-07-22,69.4812
IQT1673283577,2015-08-21,79.874
IQT1673283577,2015-09-20,75.2221
IQT1673283577,2015-10-20,84.4312
IQT1673283577,2015-11-19,91.5868
IQT1673283577,2015-12-19,86.8619
IQT1673283577,2016-01-18,92.9618
IQT1673283577,2016-02-17,92.2289
IQT1673283577,2016-03-18,74.1202
IQT1673283577,2016-04-17,74.1202
IQT1673283577,2016-05-17,74.1202
IQT1673283577,2016-06-16,89.9499
IQT1673283577,2016-07-16,89.9499
IQT1673283577,2016-08-15,89.9499
IQT1673283577,2016-09-14,89.9499
IQT1673283577,2016-10-14,89.9499
IQT1673283577,2016-11-13,89.9499
IQT1673283577,2016-12-13,72.7943
IQT1673283577,2017-01-12,72.6389
IQT1673283577,2017-02-11,79.9235
IQT1673283577,2017-03-13,69.8193
IQT1673283577,2017-04-12,72.7804
IQT1673283577,2017-05-12,66.4637
IQT1673283577,2017-06-11,66.4637
IQT1673283577,2017-07-11,66.4637
IQT1673283577,2017-08-10,66.4637
IQT1673283577,2017-09-09,61.0618
IQT1673283577,2017-10-09,55.3167
IQT1673283577,2017-11-08,56.0466
IQT1673283577,2017-12-08,62.1136
IQT1673283577,2018-01-07,58.3496
IQT1673283577,2018-02-06,61.5295
IQT1673283577,2018-03-08,116.0334
IQT1673283577,2018-04-07,124.4415
IQT1673283577,2018-05-07,120.9989
IQT1673283577,2018-06-06,127.7968
IQT1673283577,2018-07-06,121.1227
IQT1673283577,2018-08-05,116.7249
IQT1673283577,2018-09-04,121.4014
IQT1673283577,2018-10-04,123.8284
IQT1673283577,2018-11-03,126.5579
IQT1673283577,2018-12-03,131.0726
IQT1673283577,2019-01-02,135.5235
IQT1673283577,2019-02-01,140.5191
IQT1673283577,2019-03-03,134.0629
IQT1673283577,2019-04-02,122.4228
IQT1673283577,2019-05-02,125.2338
IQT1673283577,2019-06-01,137.4884
IQT1673283577,2019-07-01,145.0066
IQT1673283577,2019-07-31,52.4157
IQT1673283577,2019-08-30,149.3408
IQT1673283577,2019-09-29,157.5396
IQT1673283577,2019-10-29,147.5339
IQT1673283577,2019-11-28,53.7795
IQT1673283577,2019-12-28,148.0108
IQT1673283577,2020-01-27,146.5418
IQT1673283577,2020-02-26,150.3426
IQT1673283577,2020-03-27,100.8056
IQT1673283577,2020-04-26,99.5449
IQT1673283577,2020-05-26,83.1229
IQT1673283577,2020-06-25,194.8523
IQT1673283577,2020-07-25,197.2676
IQT1673283577,2020-08-24,178.8551
IQT1673283577,2020-09-23,188.1194
IQT1673283577,2020-10-23,175.9842
IQT1673283577,2020-11-22,171.8853
IQT1673283577,2020-12-22,153.2851
IQT1673283577,2021-01-21,158.8002
IQT1673283577,2021-02-20,157.9751
IQT1673283577,2021-03-22,184.3495
IQT1673283577,2021-04-21,175.3054
IQT1673283577,2021-05-21,182.4299
IQT1673283577,2021-06-20,188.5645
IQT1673283577,2021-07-20,183.0776
IQT1673283577,2021-08-19,197.3032
IQT1673283577,2021-09-18,204.0299
IQT1673283577,2021-10-18,39.7248
IQT1673283577,2021-11-17,41.1954
IQT1673283577,2021-12-17,44.6582
